Sr No,Date dd/mm/yyyy,Startup Name,Industry Vertical,SubVertical,City  Location,Investors Name,InvestmentnType,Amount in USD,Remarks
178.00,13-08-2018,Observe AI,Technology,AI Based Solutions Platform,Bangalore,"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator",Private Equity,"₹ 80,00,000.00",nan
179.00,16-08-2018,Enakshi,Consumer Internet,AI Based Solutions Platform,Ahmedabad,N/A,Seed/ Angel Funding,"₹ 1,14,811.00",nan
180.00,17-08-2018,EazyDiner,Consumer Internet,Online Restaurant Table Reservation Platform,Gurugram,Denlow Investment Trust and Beenext,Private Equity,"₹ 58,50,000.00",nan
181.00,20-08-2018,Finzy,Finance,Online Loan Matchmaking Platform,Bangalore,N/A,Seed / Angel Funding,"₹ 10,00,000.00",nan
182.00,20-08-2018,RawPressery,Consumer Internet,Online Organic Juice Delivery Service,Mumbai,Alteria Capital,Debt Funding,"₹ 48,00,000.00",nan
183.00,22-08-2018,Pi Ventures,Technology,Applied Artificial Intelligence and IoT focusedPlatform,Bangalore,CDC Group plc,Private Equity,"₹ 60,00,000.00",nan
184.00,22-08-2018,Revv,Consumer Internet,Online Indian Car Rental Platform,Gurugram,"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment",Private Equity,"₹ 1,42,70,000.00",nan
185.00,26-08-2018,ZestMoney,Consumer Internet,Online Lending Platform,Bangalore,"Xiaomi,PayU, Ribbit Capital and Omidyar Network",Private Equity,"₹ 1,34,00,000.00",nan
186.00,26-08-2018,Shubh Loans,Fin-Tech,Customer Sourcing Platform,Bangalore,"Saama Capital, SRI Capital, Beenext, and Pravega Ventures",Private Equity,"₹ 42,00,000.00",nan
187.00,27-08-2018,MyUpchar,Healthcare,Local Language Health Content App,Delhi,"Nexus Venture Partners, Omidyar Network and Shunwei Capital",Private Equity,"₹ 50,00,000.00",nan
188.00,28-08-2018,Narvar,IT,Post-Purchase Customer Engagement Platform,Bangalore,Accel (formerly known as Accel Partners),Private Equity,"₹ 30,00,000.00",nan
189.00,30-08-2018,True North,Finance,Private Equity Firm,Mumbai,N/A,Private Equity,"₹ 60,00,00,000.00",nan
190.00,01-07-2018,Leena AI,Technology,HR Virtual Agent For Employees,Gurugram,Y Combinator,Seed/ Angel Funding,N/A,N/A
191.00,02-07-2018,Biryani By Kilo,Consumer Internet,Online Food Delivery,Gurugram,Ajay Relan and Vinay Mittal,Seed/ Angel Funding,"₹ 10,00,000.00",nan
192.00,04-07-2018,Anchanto,IT,E-commerce Fulfilment Platform,Pune,MDI Ventures & Telkom Indonesia,Private Equity,"₹ 40,00,000.00",nan
193.00,05-07-2018,Loan Tap,Consumer Internet,Online Lending Platform For Salaried Professionals,Mumbai,"Shunwei Capital, Tuscan Ventures, Ashish Goenka, VC firms India Quotient and Kae Capital",Private Equity,"₹ 62,50,000.00",nan
194.00,06-07-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,Info Edge (India) Ltd and Temasek,Private Equity,"₹ 2,77,00,000.00",nan
195.00,09-07-2018,zippserv,Consumer Internet,Online Platform For Risk-Assessment Services For Real Estate Investments,Bangalore,Info Edge (India) Ltd,Seed/ Angel Funding,"₹ 4,40,000.00",nan
196.00,09-07-2018,Groww,Consumer Internet,Online Platform That Sells Direct Plans Of Mutual Funds,Bangalore,"Insignia Ventures Partners, Lightbridge Partners & Kairos",Seed/ Angel Funding,"₹ 11,00,000.00",nan
197.00,10-07-2018,Avenue Growth,Consumer Internet,Online Platform That Connects Brands With Freelance Sales Professionals,Gurugram,"Avtar Monga, chief operating office at IDFC Bank, Aditya Malik & Others",Seed/ Angel Funding,"₹ 4,37,000.00",nan
198.00,10-07-2018,iNICU,Healthcare,Med-tech Platform Providing Care For Newborns,Delhi,Venture Catalysts,Seed/ Angel Funding,N/A,N/A
199.00,10-07-2018,Kinara Capital,Finance,Lending Platform For Micro and Small Enterprises,Bangalore,ResponsAbility,Private Equity,"₹ 50,00,000.00",nan
200.00,10-07-2018,Shop 101,Consumer Internet,Mobile Storefront And Commerce Platform For Sellers,Mumbai,"Stellaris Venture Partners, Vy Capital, Raghunandan G, and Ramakant Sharma",Private Equity,"₹ 50,00,000.00",nan
201.00,11-07-2018,Sambandh,Consumer Internet,Online Micro Lending Platform,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Private Equity,"₹ 25,00,000.00",nan
202.00,12-07-2018,19th mile,IT,Artificial intelligence-based sales acceleration software platform,Gurugram,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed/ Angel Funding,"₹ 1,80,000.00",nan
203.00,12-07-2018,5th Vital,Healthcare,Home diagnostics services provider,Bangalore,Brand Capital and Others,Seed/ Angel Funding,"₹ 5,00,000.00",nan
204.00,13-07-2018,MEngage,Healthcare,A Doctor-Patient Engagement Platform,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed/ Angel Funding,"₹ 1,75,000.00",nan
205.00,17-07-2018,Ofbusiness,Finance,Online Lending Platform For SME,Gurugram,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital",Private Equity,"₹ 2,90,00,000.00",nan
206.00,17-07-2018,Cars24,Consumer Internet,Online Used Car Marketplace,Gurugram,"Kingsway FCI Fund, KCK Global & Others",Private Equity,"₹ 4,97,00,000.00",nan
207.00,18-07-2018,The Ken,Consumer Internet,Subscription-Only News Website,Bangalore,Omidyar Network & Others,Seed/ Angel Funding,"₹ 15,00,000.00",nan
208.00,19-07-2018,Book My Show,Consumer Internet,Online Ticketing Platform,Mumbai,"TPG Growth, The Rise Fund & Others",Private Equity,"₹ 10,00,00,000.00",nan
209.00,20-07-2018,HousingMan,Consumer Internet,Property Discovery Platform,Bangalore,N/A,Seed/ Angel Funding,"₹ 15,00,000.00",nan
210.00,21-07-2018,PaySense,Consumer Internet,Online Consumer Lending Platform,Mumbai,PayU & Others,Private Equity,"₹ 1,80,00,000.00",nan
211.00,23-07-2018,Yulu Bikes,Technology,Bicycle-Sharing Platform,Bangalore,N/A,Seed/ Angel Funding,N/A,N/A
212.00,23-07-2018,VTION,Technology,Media Analytics,Gurugram,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed/ Angel Funding,"₹ 2,80,000.00",nan
213.00,23-07-2018,Log9 Materials,Technology,Nanotechnology Company Specializing In Graphene,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed/ Angel Funding,"₹ 4,36,000.00",nan
214.00,24-07-2018,kidovators,Ed-Tech,Skill Learning Platform,Bangalore,Gray Matters,Seed/ Angel Funding,"₹ 1,80,000.00",nan
215.00,24-07-2018,Digit,Consumer Internet,Online Insurance Startup,Pune,Fairfax,Private Equity,"₹ 4,50,00,000.00",nan
216.00,25-07-2018,Black Soil,Finance,Non-Banking Financial Company,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Private Equity,"₹ 1,70,00,000.00",nan
217.00,25-07-2018,Trell,Consumer Internet,Mobile-First Video Blogging App,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed/ Angel Funding,"₹ 12,50,000.00",nan
218.00,25-07-2018,iqlect,Technology,Data Analytics Firm,Bangalore,Ventureast and Exfinity,Seed/ Angel Funding,"₹ 25,00,000.00",nan
219.00,26-07-2018,Entropik,IT,Software-As-A-Service Platform,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed/ Angel Funding,"₹ 11,00,000.00",nan
220.00,26-07-2018,Bitla Software,Technology,Travel-Focused Tech Startup,Bangalore,MakeMyTrip,Private Equity,N/A,N/A
221.00,26-07-2018,TheCapitalNet,Fin-Tech,Unified Global Investments Ecosystem,Hyderabad,Lindwall Family Investments LLC (LFI),Private Equity,"₹ 5,00,000.00",nan
222.00,30-07-2018,Shuttl,Consumer Internet,Bus Aggregation Platform,Gurugram,Amazon Alexa Fund & Dentsu Ventures,Private Equity,"₹ 1,10,00,000.00",nan
223.00,30-07-2018,Cure Fit,Consumer Internet,Health and fitness Platform,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Private Equity,"₹ 12,00,00,000.00",nan
224.00,31-07-2018,Five Star Group,Fin-Tech,Non-Bank Lending Platform For SME,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Private Equity,"₹ 10,00,00,000.00",nan
225.00,31-07-2018,Healthsignz,Healthcare,Health and Well being Platform,Hyderabad,Kantilal Patel,Seed/ Angel Funding,"₹ 50,00,000.00",nan
226.00,01-06-2018,CoinTribe,Finance,Credit-Based Lending Marketplace For Small And Medium Enterprises,Gurugram,"Sabre Partners, Puneet Dalmia & Others",Private Equity,"₹ 1,00,00,000.00",nan
227.00,04-06-2018,Digiconectt,Technology,Sales Analytics and Enablement Platform,Bangalore,Aspire Logistics LLC,Seed/ Angel Funding,"₹ 1,25,000.00",nan
228.00,04-06-2018,Kashmir Box,E-Commerce,"Online Marketplace For Handicrafts, Handlooms And Local Produce",Srinagar,"Bhairavi Jani, Alok Divatia, Namrata Kaul, Sohail Hashemi, Aijaz Saleem",Seed/ Angel Funding,N/A,N/A
229.00,05-06-2018,Crowdera,Finance,Online Crowdfunding Platform,Nagpur,"Anil Advani, Pramod Jain, Amrendra Reddy and Manish Satnaliwala.",Seed/ Angel Funding,N/A,N/A
230.00,05-06-2018,Zoctr,Healthcare,Online Healthcare Aggregator,Mumbai,NB Ventures and Others,Seed/ Angel Funding,N/A,N/A
231.00,07-06-2018,Annapurna Finance,Finance,Non-Banking Financial Company,Bhubaneswar,Oman India Joint Investment Fund (OIJIF),Private Equity,"₹ 2,30,00,000.00",nan
232.00,07-06-2018,Meesho,Consumer Internet,Online Marketplace For Resellers,Bangalore,"Sequoia Capital India, SAIF Partners, Y Combinator and Venture Highway",Private Equity,"₹ 1,15,00,000.00",nan
233.00,10-06-2018,AyeFinance,Finance,Online Lending Platform,Gurugram,"CapitalG, SAIF Partners and LGT Impact Ventures",Private Equity,"₹ 2,15,00,000.00",nan
234.00,11-06-2018,Theranosis,Healthcare,Specialised diagnostics Platform,Hyderabad,Mumbai Angels Network,Seed/ Angel Funding,N/A,N/A
235.00,12-06-2018,Alpha Capital,Finance,Supplychain Finance,Mumbai,Alpha Capital,Private Equity,"₹ 1,48,00,000.00",nan
236.00,12-06-2018,eshakti,E-Commerce,Fashion e-tailer,Chennai,Paragon Partners,Private Equity,"₹ 1,01,00,000.00",nan
237.00,12-06-2018,Daily Ninja,Consumer Internet,Hyperlocal Delivery Platform,Bangalore,Saama Capital and Sequoia Capital,Seed/ Angel Funding,"₹ 30,00,000.00",nan
238.00,13-06-2018,NirogStreet,Healthcare,An Online Platform That Connects Ayurveda Doctors With Patients,Gurugram,"Spiral Ventures, Subho Ray and Samir Kumar",Seed/ Angel Funding,"₹ 3,00,000.00",nan
239.00,13-06-2018,Nivesh,Finance,Mass Market Mutual Fund Investment Platform,Noida,"LetsVenture, Rajan Anandan, Basab Pradhan, Vivek Khare and Bijoy George",Seed/ Angel Funding,"₹ 4,50,000.00",nan
240.00,13-06-2018,Whats Up Life,Consumer Internet,"A Local Discovery App For Dining-Out, Party, Leisure and Events",Gurugram,Rannvijay Singha,Seed/ Angel Funding,N/A,N/A
241.00,14-06-2018,HomeLane,Consumer Internet,Online Home Furnishing Solutions,Bangalore,Brand Capital,Seed/ Angel Funding,"₹ 34,50,000.00",nan
242.00,14-06-2018,Network Intelligence,Technology,Cybersecurity Specialist,Mumbai,Helix Investments,Private Equity,"₹ 48,00,000.00",nan
243.00,18-06-2018,Tynor Othontics,Healthcare,Prosthetics Manufacturers,Chandigarh,Lighthouse Funds & Thuasne Participations,Private Equity,"₹ 2,10,00,000.00",nan
244.00,18-06-2018,Elucidata,IT,Data Analytics (SaaS),Delhi & Cambridge,Hyperplane Venture Capital and several angel investors,Seed/ Angel Funding,"₹ 17,00,000.00",nan
245.00,19-06-2018,Chrysalis,Ed-Tech,Education Services Provider,Pune,Menterra Venture & Artha Initiatives,Seed/ Angel Funding,N/A,N/A
246.00,19-06-2018,RentSher,Consumer Internet,Online Rental Marketplace,Bangalore,"Shorooq Investments, LetsVenture & Others",Seed/ Angel Funding,"₹ 11,00,000.00",nan
247.00,20-06-2018,Drip capital,Finance,Trade Finance Firm,Mumbai,"Accel Partners, Sequoia India, Y Combinator and others.",Private Equity,"₹ 1,50,00,000.00",nan
248.00,22-06-2018,WickedRide,Consumer Internet,Online Motorbike And Scooter Rental Platforms,Bangalore,"Sequoia Capital, Accel Partners & Raghunandan Gangappa",Private Equity,"₹ 91,00,000.00",nan
249.00,25-06-2018,PolicyBazaar,Consumer Internet,Online Insurance Selling Platform,Gurugram,SoftBank Vision Fund & Info Edge (India) Ltd,Private Equity,"₹ 20,00,00,000.00",nan
250.00,25-06-2018,HipBar,Consumer Internet,Digital Payment Platform For Beverage Delivery,Bangalore,Diageo India,Private Equity,"₹ 40,00,000.00",nan
251.00,25-06-2018,Sqqrl,Finance,App-based investment platform,Gurugram,Equanimity Venture Fund,Seed/ Angel Funding,"₹ 10,00,000.00",nan
252.00,26-06-2018,Paytm,Technology,Digital Payment Platform,Noida,One 97 Communications,Private Equity,"₹ 89,50,000.00",nan
253.00,26-06-2018,Sigtuple,Healthcare,Data Driven Intelligence Solutions Platform,Bangalore,"Accel Partners, IDG Venture, Endiya Partners, pi Ventures, VH Capital, Axilor Ventures and Binny Bansal",Private Equity,"₹ 1,90,00,000.00",nan
254.00,27-06-2018,Wow Express,Technology,E-commerce Logistics Platform,Mumbai,Undisclosed Existing Investors As Well As The Tamarind Family Trust,Private Equity,"₹ 45,00,000.00",nan
255.00,28-06-2018,Front Desk AI,Technology,An AI Platform Offering Automated Customer Service Software,Bangalore,Speciale Invest & Others,Seed/ Angel Funding,"₹ 11,00,000.00",nan
256.00,28-06-2018,Edureka,Ed-Tech,Online Education Platform,Bangalore,Leo Capital,Seed/ Angel Funding,"₹ 20,00,000.00",nan
257.00,29-06-2018,Numeroseven,Technology,An Artificial Intelligence-Based Recruitment Platform,Kolkata,Shiva Gunapu & Others,Seed/ Angel Funding,N/A,N/A
258.00,02-05-2018,OpenTap,Finance,Online Lending Platform,Chennai,Unknown High Net-Worth Individuals,Seed / Angel Funding,"₹ 4,50,000.00",nan
259.00,02-05-2018,Bizongo,Consumer Internet,Aggregator For Packaging Material,Mumbai,"B Capital, International Finance Corporation (IFC), Accel Partners and IDG Ventures",Private Equity,"₹ 2,20,00,000.00",nan
260.00,03-05-2018,Disprz,IT,SaaS,Chennai,"IL&FS Private Equity, Kae Capital & Others",Seed / Angel Funding,"₹ 25,00,000.00",nan
261.00,07-05-2018,PaisaDukan,Consumer Internet,P2P Lending Platform,Mumbai,N/A,Seed / Angel Funding,"₹ 2,25,000.00",nan
262.00,09-05-2018,i3sysytems,Technology,AI product company For Health and Life Insurane Companies,Mumbai,"Unitus Ventures, Behram Vakil and Jerxis Vandrevala",Seed / Angel Funding,"₹ 10,00,000.00",nan
263.00,11-05-2018,Earth Food,Consumer Internet,Agri-tech,Pune,Rairah Corporation,Seed / Angel Funding,"₹ 9,49,000.00",nan
264.00,14-05-2018,Nykaa,Consumer Internet,Beauty e-tailer,Mumbai,"Sunil Munjal, Harsh Mariwala, Dalip Pathak and Others",Private Equity,"₹ 2,40,00,000.00",nan
265.00,16-05-2018,mfine,Healthcare,Doctor-Consultation App,Bangalore,"Prime Venture Partners, Stellaris Venture Partners and Mayur Abhaya Srisrimal",Private Equity,"₹ 42,00,000.00",nan
266.00,21-05-2018,Rocketium,Technology,Online Video Creation Platform,Bangalore,Blume ventures,Seed/ Angel Funding,"₹ 3,00,000.00",nan
267.00,21-05-2018,MilkBasket,Technology,Micro-Delivery Grocery Startup,Gurugram,"Kalaari Capital, Unilever Ventures and Blume Ventures",Private Equity,"₹ 70,00,000.00",nan
268.00,22-05-2018,Vola,Finance,Micro Lending Platform,Bangalore,Credika and unnamed angel investors,Seed/ Angel Funding,"₹ 5,00,000.00",nan
269.00,22-05-2018,Cashkumar,Consumer Internet,P2P Lending Platform,Bangalore,LetsVenture,Seed/ Angel Funding,"₹ 7,35,000.00",nan
270.00,23-05-2018,Edyoo,E-Commerce,Products For Shoolgoing Children,Bangalore,RS Shanbag,Seed/ Angel Funding,"₹ 7,35,000.00",nan
271.00,23-05-2018,Aashiyaan,Finance,Housing Finance For Low-Income Families,Kolkata,"Insistor, Oikocredit",Seed/ Angel Funding,"₹ 20,00,000.00",nan
272.00,24-05-2018,Smartivity,Ed-tech,Designer Of Toys and Learning Projects For Kids,Delhi,"Ashish Kacholi, S Chand Group",Seed/ Angel Funding,"₹ 20,00,000.00",nan
273.00,24-05-2018,Bonphulapl,Clean-tech,Oxygen Optimiser Manufacturer,Delhi,Atul Gupta and Saurabh Rastogi,Seed/ Angel Funding,"₹ 2,93,000.00",nan
274.00,27-05-2018,Acko,Consumer Internet,Online Insurance Platform,Mumbai,"Amazon, Ashish Dhawan, Catamaran Ventures, NR Narayana Murthy.",Seed/ Angel Funding,"₹ 1,20,00,000.00",nan
275.00,28-05-2018,HWell24,Healthcare,Home Healthcare Aggregator,Mumbai,"Prashant Mehta, Mitali Pawar, Nikhil G and Bhavesh P, R Ranganathan, ONCOTRUST and Medintel Services Pvt. Ltd",Seed/ Angel Funding,"₹ 2,00,000.00",nan
276.00,29-05-2018,Toffee,Consumer Internet,Online Insurance Platform,Gurugram,"Kalaari Capital, Omidyar Network and Accion Venture Labs",Seed/ Angel Funding,"₹ 15,00,000.00",nan
277.00,29-05-2018,Tonetag,Technology,Mobile Payments Technology Platform,Bangalore,Amazon Inc. and Mastercard,Private Equity,"₹ 80,00,000.00",nan
278.00,30-05-2018,Events High,Consumer Internet,Events and Activities Discovery Platform,Bangalore,Treebo,Private Equity,N/A,N/A
279.00,30-05-2018,Stellaps,Technology,Iot Application Platform In Agriculture,Bangalore,"IndusAge Partners, Bill & Melinda Gates Foundation, Qualcomm Venture, ABB Technology Ventures, Omnivore, Blume Ventures, Venture Highway and BEENEXT",Private Equity,"₹ 1,40,00,000.00",nan
280.00,31-05-2018,Credright,Consumer Internet,Lending Platform For SMEs,Hyderabad,"Accion Venture Lab, YourNest Venture Capital And Other Angel Investors",Seed/ Angel Funding,"₹ 13,00,000.00",nan
281.00,02-04-2018,Fitternity,Consumer Internet,Online Fitness Discovey Platform,Mumbai,"Exfinity Venture, Saha fund Partners, Arihant Patni of Patni Family Office, Anjali Bansal, Shardul Amarchand Mangaldas, Satish Khanna and Taparia family office.",Private Equity,"₹ 20,00,000.00",nan
282.00,02-04-2018,Synctag,Technology,Social Media Anlaytics Platform,Coimbatore,Subhkam Ventures and Mohit Khadaria,Seed / Angel Funding,"₹ 3,07,600.00",nan
283.00,02-04-2018,Benepik,Technology,Enhanced Employee Engagement Platform,Gurugram,"Vishal Bali, Yogesh Misra, Thomas Assessments and others",Seed / Angel Funding,N/A,N/A
284.00,02-04-2018,Finzy,Consumer Internet,Online Loan Matchmaking Platform,Bangalore,N/A,Seed / Angel Funding,"₹ 13,00,000.00",nan
285.00,04-04-2018,Varthana,Finance,Loans and Services To Affordable Private Schools in India,Bangalore,"ChrysCapital, Existing investors, Elevar Equity, LGT Impact, Omidyar Network and Kaizen Private Equity also participated in the round",Private Equity,"₹ 5,50,00,000.00",nan
286.00,05-04-2018,IndigoLearn,Ed-Tech,Online Education Platform,Hyderabad,"Maheshwar Peri, founder and chairman of career information portal Careers360, and Jamshed Jeejeebhoy, director at Byramjee Jeejeebhoy Pvt. Ltd were among the angels",Seed / Angel Funding,"₹ 1,50,000.00",nan
287.00,05-04-2018,Vedantu,Ed-Tech,Interactive Online Tutoring Platform,Bangalore,"Accel Partners, Tiger Global And Others",Private Equity,"₹ 1,00,00,000.00",nan
288.00,09-04-2018,Kaleidofin,Fiinance,Digital Financial Services Platform,Chennai,Omidyar Network. Blume Ventures and Professor Shlomo Ben-Haim,Seed / Angel Funding,"₹ 28,00,000.00",nan
289.00,09-04-2018,Pipabella,Consumer Internet,Fashion Accessories Etailer,Mumbai,Fireside Ventures,Seed / Angel Funding,"₹ 10,00,000.00",nan
290.00,09-04-2018,Elemential,Technology,Blockchain Platform,Mumbai,"Matrix Partner, Amrish Rau, Investopad, Digital Currency Group, Hinduja Group, Lightspeed India, Eight Innovate, Amit Ranjan, Prashant Malik and others",Seed / Angel Funding,N/A,N/A
291.00,09-04-2018,Kriger Campus,Ed-Tech,Mobile-Based Education Network,Delhi,N/A,Seed / Angel Funding,"₹ 46,140.00",nan
292.00,10-04-2018,Loanzen,Finance,Digital Lending Platform In Logistics,Bangalore,Kae Capital Management,Seed / Angel Funding,N/A,N/A
293.00,10-04-2018,TravelTriangle,Consumer Internet,Online Travel Marketplace,Gurugram,"Fundamentum, SAIF Partners, Bessemer Venture Partners, RB investments & Others",Private Equity,"₹ 1,20,00,000.00",nan
